"id","title","author","url","status","open_time","close_time","reviewers"
"11923","Try to generate a beforeInput event for buggy composition scenarios in IE","robbertbrak","https://github.com/facebook/react/pull/7926","Closed","10/10/2016 08:28:42",,"[]"
"11924","Replace ES2015 with ES6.","hramos","https://github.com/facebook/react/pull/7929","Merged","10/10/2016 20:47:02",,"[]"
"11925","Inject the previous batching strategy when rendering to string","ibash","https://github.com/facebook/react/pull/7930","Merged","10/10/2016 21:01:32",,"[]"
"11926","[Website] [API Reference] React, ReactDOM, ReactDOMServer Reference Guides","hramos","https://github.com/facebook/react/pull/7931","Merged","10/10/2016 22:31:20",,"[""gaearon""]"
"11927","Fix typo in more-about-refs.md","colinwren","https://github.com/facebook/react/pull/7933","Merged","10/10/2016 23:12:02",,"[]"
"11928","Update codebase-overview.md","aesopwolf","https://github.com/facebook/react/pull/7934","Merged","10/10/2016 23:32:30",,"[]"
"11929","PropTypes guide","lacker","https://github.com/facebook/react/pull/7935","Merged","11/10/2016 01:08:17",,"[""hramos"", ""gaearon""]"
"11930","Support iframes (nested browsing contexts) in selection event handling (stale version)","acusti","https://github.com/facebook/react/pull/7936","Closed","11/10/2016 04:10:51",,"[]"
"11931","Typo fixes in codebase-overview.md","ababkov","https://github.com/facebook/react/pull/7938","Merged","11/10/2016 10:26:14",,"[]"
"11932","Remove CallbackRegistry","cpojer","https://github.com/facebook/react/pull/794","Closed","3/1/2014 18:08:58",,"[]"
"11933","[New Docs] Remove entries under Old Docs for content that has been updated.","hramos","https://github.com/facebook/react/pull/7940","Merged","11/10/2016 14:05:06",,"[""gaearon""]"
"11934","[Fiber] State Updates","sebmarkbage","https://github.com/facebook/react/pull/7941","Merged","11/10/2016 17:48:44",,"[""acdlite""]"
"11935","[New Docs] Add PropTypes to React reference API, adjust formatting","hramos","https://github.com/facebook/react/pull/7943","Merged","12/10/2016 00:52:27",,"[""gaearon""]"
"11936","Declare type higher up in mountComponent() in ReactDOMComponent","kevinzwhuang","https://github.com/facebook/react/pull/7944","Merged","12/10/2016 05:13:00",,"[]"
"11937","ref-04-tags-and-attributes.md. data-* and aria-* attrs not camel-…","teameh","https://github.com/facebook/react/pull/7946","Closed","12/10/2016 12:01:10",,"[""aweary""]"
"11938","Bump Jest to 16","gaearon","https://github.com/facebook/react/pull/7948","Closed","12/10/2016 14:00:26",,"[]"
"11939","Support passthrough updates for error boundaries","gaearon","https://github.com/facebook/react/pull/7949","Merged","12/10/2016 14:01:57",,"[""sebmarkbage""]"
"11940","Add jsx-requirejs-plugin to the tooling-integration page","felipecrv","https://github.com/facebook/react/pull/795","Merged","3/1/2014 18:51:10",,"[]"
"11941","[NEW-DOCS] data-react-id -> data-reactid","aweary","https://github.com/facebook/react/pull/7950","Merged","12/10/2016 16:01:43",,"[]"
"11942","Refs and the DOM","lacker","https://github.com/facebook/react/pull/7952","Merged","12/10/2016 18:09:23",,"[""gaearon""]"
"11943","Fix typo","Gpx","https://github.com/facebook/react/pull/7953","Merged","12/10/2016 18:20:41",,"[]"
"11944","Context doc","lacker","https://github.com/facebook/react/pull/7954","Merged","12/10/2016 18:59:16",,"[""gaearon""]"
