"id","issue_url","pr_url","link_time","user","is_link"
"81","https://github.com/facebook/react/issues/1171","https://github.com/facebook/react/pull/1557","18/5/2014 14:00:15","jonase","1"
"82","https://github.com/facebook/react/issues/11726","https://github.com/facebook/react/pull/11737","1/12/2017 02:43:55","koba04","1"
"83","https://github.com/facebook/react/issues/11759","https://github.com/facebook/react/pull/11823","9/12/2017 21:17:14","XaveScor","1"
"84","https://github.com/facebook/react/issues/11789","https://github.com/facebook/react/pull/13353","9/8/2018 15:19:45","gaearon","1"
"85","https://github.com/facebook/react/issues/1179","https://github.com/facebook/react/pull/1198","28/2/2014 20:52:09","chenglou","1"
"86","https://github.com/facebook/react/issues/11807","https://github.com/facebook/react/pull/13534","1/9/2018 23:20:29","mgol","1"
"87","https://github.com/facebook/react/issues/1185","https://github.com/facebook/react/pull/877","15/4/2014 16:47:26","sophiebits","1"
"88","https://github.com/facebook/react/issues/119","https://github.com/facebook/react/pull/120","22/6/2013 08:19:47","sophiebits","1"
"89","https://github.com/facebook/react/issues/11911","https://github.com/facebook/react/pull/12078","23/1/2018 13:08:21","stephenkingsley","1"
"90","https://github.com/facebook/react/issues/11911","https://github.com/facebook/react/pull/13261","24/7/2018 17:00:16","Slowyn","1"
"91","https://github.com/facebook/react/issues/11918","https://github.com/facebook/react/pull/11927","27/12/2017 23:21:23","aweary","1"
"92","https://github.com/facebook/react/issues/11975","https://github.com/facebook/react/pull/11983","8/1/2018 01:37:57","rickhanlonii","1"
"93","https://github.com/facebook/react/issues/12","https://github.com/facebook/react/pull/20","30/5/2013 15:05:48","benjamn","1"
"94","https://github.com/facebook/react/issues/12038","https://github.com/facebook/react/pull/12092","25/1/2018 13:58:58","NE-SmallTown","1"
"95","https://github.com/facebook/react/issues/12058","https://github.com/facebook/react/pull/12059","20/1/2018 02:32:46","billyjanitsch","1"
"96","https://github.com/facebook/react/issues/12076","https://github.com/facebook/react/pull/13530","1/9/2018 12:23:18","juggernaut451","1"
"97","https://github.com/facebook/react/issues/12089","https://github.com/facebook/react/pull/12094","25/1/2018 18:12:46","bvaughn","1"
"98","https://github.com/facebook/react/issues/12106","https://github.com/facebook/react/pull/12154","5/2/2018 10:33:27","gaearon","1"
"99","https://github.com/facebook/react/issues/1216","https://github.com/facebook/react/pull/1219","5/3/2014 10:16:39","syranide","1"
"100","https://github.com/facebook/react/issues/12171","https://github.com/facebook/react/pull/13225","17/7/2018 22:49:45","gaearon","1"
"101","https://github.com/facebook/react/issues/12177","https://github.com/facebook/react/pull/12178","7/2/2018 19:41:07","bvaughn","1"
